"Indicator NO.",Grading,Domain,Taiwan,Australia,"New Zealand",Indonesia,Singapore,Georgia,Kyrgyzstan,Kazakhstan,Armenia,Tajikistan,Ethiopia,Kenya,Brazil,Bolívia,Argentina,Uruguay,Paraguay,Chile,Colombia,Mexico,Peru,Venezuela,"South Korea",Japan,Vietnam,"United States",Canada,Philippines,Thailand,Cambodia,Malaysia,Germany,Estonia,"Czech Republic","Bosnia and Herzegovina",Poland
1,1,Media,1,2,3,2,0,0,1,0,0,3,0,3,1,0,0,0,0,1,1,3,3,1,0,1,0,1,4,0,3,3,1,4,0,3,0,1
2,1,Media,3,1,1,1,0,0,2,3,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,1,0,1,1,1,3,4,1,1,0,0,1,0
3,1,Media,4,4,3,4,3,4,3,3,0,3,0,3,na,na,3,0,0,3,1,3,4,3,4,0,0,0,4,na,2,3,2,3,0,0,0,0
4,1,Media,2,3,1,0,4,4,1,3,0,0,0,3,0,3,1,1,0,na,0,0,4,3,4,na,0,1,0,4,3,4,3,1,0,0,0,0
5,1,Media,4,3,3,1,4,0,2,0,0,0,0,3,1,1,3,0,0,3,1,3,4,3,2,1,0,2,4,3,3,3,3,3,1,1,4,1
6,1,Media,3,2,3,1,0,3,1,na,0,0,0,3,0,0,0,0,0,1,0,1,3,0,0,2,1,1,1,0,3,3,1,3,0,3,0,1
7,1,Media,3,4,3,1,3,2,1,4,0,0,0,3,0,0,3,1,0,3,1,1,4,3,0,3,0,3,4,3,1,3,2,4,0,1,1,0
8,1,Media,4,2,3,2,na,3,3,3,0,1,0,0,0,0,1,0,0,4,0,1,4,0,1,1,0,3,4,3,0,0,0,3,2,0,1,3
9,0,Media,4,4,0,4,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,4,4,0,0,0
10,1,Media,4,3,3,3,0,0,0,0,0,0,na,0,0,0,0,1,0,0,0,0,4,0,1,0,na,3,4,3,2,3,2,1,0,0,0,na
11,1,Media,4,0,0,4,4,0,3,0,0,1,0,na,0,0,0,1,0,3,0,0,0,3,1,0,3,3,4,3,0,0,1,1,0,1,0,1
12,0,"Foreign Policy",0,4,4,0,0,4,4,4,4,4,0,4,4,4,4,4,0,4,4,4,4,0,4,4,4,0,0,0,4,0,4,4,4,0,0,0
13,1,"Foreign Policy",4,4,4,4,4,4,4,3,1,1,0,3,4,4,3,4,0,4,1,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,3
14,1,"Foreign Policy",0,3,3,2,4,0,4,0,1,1,3,3,1,1,1,3,0,2,0,3,4,4,0,na,3,0,0,4,4,4,2,0,na,0,0,0
15,1,"Foreign Policy",1,1,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,2,0,3,4,0,3,na,4,4,0,3,1,3,2,3,3,3,0,0
16,0,"Foreign Policy",4,4,0,0,0,0,4,4,0,4,0,0,0,4,0,0,na,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0
17,0,"Foreign Policy",na,0,0,4,0,4,0,4,4,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,na,0,0,0,0,na,0,0,0,0,0,0
18,1,"Foreign Policy",na,0,0,0,0,2,0,0,0,0,na,0,3,0,0,3,0,0,0,0,0,3,0,na,na,0,0,1,0,3,0,0,0,0,0,na
19,1,"Foreign Policy",4,0,0,0,2,na,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,2,4,0,0,0,2,2,2
20,1,"Foreign Policy",0,0,0,2,4,2,4,4,0,4,2,2,2,2,2,2,2,2,2,2,2,4,2,0,2,0,0,4,4,4,0,0,0,0,0,0
21,1,"Foreign Policy",0,0,0,2,2,2,2,4,0,2,2,4,2,2,2,2,2,2,2,4,2,2,2,0,2,0,0,2,2,4,2,0,0,2,0,2
22,1,"Foreign Policy",0,0,0,2,4,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,2,0,4,0,0,2,4,4,2,0,0,2,0,2
23,1,Academia,2,4,3,4,4,3,3,4,0,3,3,3,4,2,3,1,0,3,1,3,3,3,2,1,0,4,4,3,4,1,2,4,3,1,0,3
24,1,Academia,0,3,3,2,3,4,4,3,3,4,4,3,4,1,3,3,1,4,1,4,4,3,2,2,1,4,4,3,4,3,2,4,3,1,3,4
25,0,Academia,0,0,0,0,4,4,4,4,4,0,0,4,0,0,4,4,0,4,0,4,4,0,4,0,0,4,0,0,0,0,0,4,4,0,na,0
26,1,Academia,1,0,0,1,3,2,4,3,0,3,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,2,3,1,3,1,3,0,3,3
27,1,Academia,na,3,na,1,3,3,4,3,0,1,0,na,0,0,1,4,0,2,1,3,0,3,0,2,3,4,2,3,0,2,2,2,0,3,3,na
28,1,Academia,4,2,1,1,3,3,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,3,2,0,4,4,0,3,0,0,4,0,1,0,na
29,1,Academia,na,0,1,1,4,3,4,3,2,0,3,na,na,0,3,0,1,1,1,4,4,3,4,2,0,4,4,4,4,1,na,3,1,1,4,1
30,1,Academia,2,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,4,1,0,0,0,3,1,0,0,1
31,1,Academia,3,3,0,0,0,0,0,na,0,0,0,na,0,0,0,0,0,0,0,0,0,0,0,4,na,4,0,0,0,0,0,4,3,0,na,0
32,0,Academia,0,0,na,0,4,0,4,0,4,4,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,4,4,4,4,0,0,0,0
33,1,Academia,3,4,0,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,na,4,4,na,na,0,0,3,3,0,0,0
34,1,"Domestic Politics",2,3,3,4,0,4,0,0,0,4,0,4,3,3,4,3,0,2,3,4,4,3,4,0,3,na,4,4,4,0,0,4,0,2,1,2
35,1,"Domestic Politics",1,4,4,2,0,3,3,2,0,2,3,3,4,3,4,4,0,2,1,4,4,0,4,2,3,4,4,3,4,4,4,4,3,1,3,2
36,1,"Domestic Politics",4,4,3,2,3,3,4,3,1,0,0,1,3,0,4,3,0,4,1,3,4,4,0,3,4,4,0,3,na,na,2,4,3,1,0,3
37,1,"Domestic Politics",4,3,3,4,4,4,4,4,1,4,3,3,3,3,3,4,na,4,1,3,4,4,4,3,3,4,2,4,2,3,3,4,3,4,4,3
38,1,"Domestic Politics",0,3,na,3,3,0,3,1,0,0,3,3,1,3,3,0,0,2,1,1,4,3,0,0,0,0,0,4,3,3,2,1,0,0,0,0
39,1,"Domestic Politics",3,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,na,0,na,3,0,0,0,0,0
40,1,"Domestic Politics",3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,4,0,3,3,0,0,1,0,0,0,0
41,1,"Domestic Politics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,0,0,0,0,0,1,0,0,0,0
42,1,"Domestic Politics",4,0,0,4,0,4,4,0,4,4,3,3,0,0,4,4,0,4,4,4,0,4,4,1,0,na,0,4,4,4,4,4,1,2,4,na
43,1,"Domestic Politics",1,3,3,1,3,3,4,0,0,3,0,0,3,0,0,0,na,4,0,3,4,4,4,1,na,4,0,na,3,3,na,4,3,3,3,0
44,1,"Domestic Politics",0,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,3,0
45,0,Economy,4,4,4,4,4,0,0,0,0,0,4,4,4,4,0,4,0,4,0,0,4,0,4,4,4,0,0,4,4,4,4,4,0,0,0,0
46,0,Economy,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,Economy,0,4,4,4,0,0,0,0,4,4,0,0,4,0,0,0,0,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
48,0,Economy,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,4,0,4,4,4,0,0,0,4,0,4,4,4,4,4,4,4,0,0
49,0,Economy,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,0,4,4,4,0,4,0,4,4,4,4,4,4,0,0,0,4
50,0,Economy,0,4,4,0,4,4,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,0,0,0,4,4
51,0,Economy,4,4,4,0,0,0,4,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0,0,0
52,0,Economy,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,na,4,4,0,0,0,0,4,0,0,0,0
53,0,Economy,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,4,0,0,4,0,4,0,4,0,0,4,4,4,4,0,0,0,0,0
54,0,Economy,0,0,4,4,4,4,4,4,0,4,4,4,0,0,0,4,0,0,0,0,4,4,4,0,4,0,0,4,4,4,4,0,0,0,0,0
55,0,Economy,0,na,na,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,Technology,0,0,0,4,4,0,4,4,0,4,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,4,4,4,4,0,0,0,0,0
57,1,Technology,0,0,3,4,3,4,4,3,3,4,4,3,4,0,4,0,0,4,1,3,4,4,1,3,4,0,3,3,4,3,3,4,4,4,3,4
58,1,Technology,0,na,na,4,4,3,4,3,0,2,0,3,1,3,4,na,3,4,1,3,4,4,na,0,0,0,0,3,3,4,3,1,3,4,1,na
59,0,Technology,0,4,0,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0,0,4,4,4,0,0,0,0,4,4,4,4,4,4,4,0,0
60,1,Technology,3,1,1,0,3,3,3,4,1,1,0,0,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,3,0,0,0,3,0
61,1,Technology,0,0,0,4,3,3,1,3,1,3,3,3,3,0,0,3,0,0,1,0,0,0,0,0,0,3,0,3,3,0,2,3,0,0,3,0
62,0,Technology,0,4,4,0,4,0,4,0,na,4,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0
63,1,Technology,4,1,1,4,3,0,na,3,0,0,3,3,3,0,3,0,0,2,0,3,1,0,2,1,4,4,4,4,2,1,1,4,0,0,0,0
64,1,Technology,4,2,0,4,4,0,1,2,1,1,na,0,1,0,3,0,0,2,1,3,0,0,4,0,0,4,1,1,3,1,1,4,0,0,1,na
65,0,Technology,0,0,0,4,4,0,4,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,4,0,0,0,0,4,0
66,0,Technology,0,0,0,0,4,0,0,0,0,4,4,0,4,0,na,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0
67,1,Society,4,4,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,1,0,3,2,0,1,0,1
68,0,Society,4,4,4,0,4,0,na,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,4,0,4,4,4,4,0,0,0,0
69,0,Society,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0
70,1,Society,3,4,0,2,3,0,na,na,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,0,4,4,1,3,0,4,4,0,4,0,3
71,1,Society,3,4,1,0,2,2,1,1,0,1,3,1,1,0,0,0,0,2,0,3,1,0,0,1,0,4,4,0,4,na,1,1,0,0,0,1
72,0,Society,4,4,4,4,4,0,4,na,0,0,4,4,4,0,4,0,0,4,0,0,4,0,0,4,0,0,4,4,4,4,0,0,0,0,4,na
73,1,Society,4,0,0,1,1,0,na,na,0,4,0,1,0,0,0,0,0,0,1,3,3,1,0,1,1,2,4,3,4,3,3,1,0,0,0,0
74,0,Society,0,0,0,0,na,0,0,na,4,4,0,na,na,0,4,0,0,0,na,0,4,0,4,0,0,0,0,4,0,4,4,0,0,0,na,0
75,1,Society,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
76,1,Society,4,0,0,0,3,4,1,0,1,1,3,0,0,0,0,0,0,3,0,0,4,4,0,0,0,na,0,0,1,1,0,1,0,1,0,0
77,0,Society,0,0,0,0,4,4,0,0,na,0,0,0,4,4,0,4,na,4,4,4,4,na,0,0,0,0,0,0,0,4,4,0,0,0,na,0
78,0,Military,0,0,0,4,0,4,4,4,4,4,4,4,4,4,0,4,4,0,0,0,4,4,4,0,0,0,0,4,4,4,4,0,4,4,0,0
79,0,Military,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
80,0,Military,0,0,0,0,4,4,0,4,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
81,0,Military,0,0,0,0,4,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0
82,0,Military,0,0,0,4,0,0,0,0,0,0,0,na,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,4,4,0,0,0,0,0,0
83,0,Military,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0
84,0,Military,0,0,4,4,4,4,4,4,4,4,0,0,4,0,4,4,0,4,0,4,4,4,0,4,0,0,0,0,4,4,0,0,0,0,0,0
85,0,Military,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,4,na,0,0,0,0,0,0,4,4,0,0,0,0,0,0
86,0,Military,4,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,na,4,0,0,na,4,0,0,0,0,0,na
87,0,Military,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0
88,0,Military,0,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,4,4,4,4,4,0,0,0,0
89,0,"Law Enforcement",4,0,0,4,4,4,4,0,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,0,4,0,0,4,4,4,4,0,4,4,4,4
90,0,"Law Enforcement",4,4,0,4,0,4,4,4,4,4,0,0,0,0,4,4,0,0,0,0,0,0,na,0,4,0,0,4,4,4,4,0,0,0,0,0
91,0,"Law Enforcement",4,4,4,4,0,0,0,0,0,0,0,0,4,4,4,0,4,0,0,4,4,0,4,0,0,4,4,4,4,4,4,0,0,0,0,4
92,1,"Law Enforcement",4,2,3,0,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,4,0,3,3,4,3,0,0,3
93,1,"Law Enforcement",4,4,3,3,4,0,1,3,1,0,3,3,0,0,0,0,0,0,0,3,4,0,4,4,4,4,0,4,0,3,3,4,0,4,0,2
94,1,"Law Enforcement",3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,na,4,2,0,na,2,3,0,0,0,0
95,0,"Law Enforcement",4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,0,0,4,0,4,0,4,4,0,4,4,4,na
96,0,"Law Enforcement",0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,4,0,0,0,0,0,0
97,0,"Law Enforcement",0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0
98,0,"Law Enforcement",0,0,0,4,0,0,na,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,4,0,0,0,0,4
99,0,"Law Enforcement",0,0,0,4,4,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,4,4,4,0,0,0,0,4